機種,台番,差枚,G数,出率,BB,RB,合成
SアイムジャグラーＥＸ,2054,201,"1,627",104.1%,8,3,1/148
スマスロ ゴッドイーター リザレクション,3097,201,332,120.2%,-,-,-
沖ドキ!ゴージャス 30Φ,2136,197,"3,040",102.2%,-,-,-
沖ドキ！ＧＯＬＤ-30,2174,116,"1,051",103.7%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3013,116,60,-,-,-,-
L東京喰種,3041,115,316,112.1%,-,-,-
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,3152,115,463,108.3%,-,-,-
スマスロモンキーターンV,3019,115,409,109.4%,-,-,-
スマスロ 七つの魔剣が支配する,3135,114,"2,032",101.9%,-,-,-
スマスロ バイオハザード5,3073,114,160,123.8%,-,-,-
マイジャグラーV,2014,114,"6,105",100.6%,20,21,1/149
SアイムジャグラーＥＸ,2057,113,"2,843",101.3%,10,10,1/142
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3132,111,619,106%,-,-,-
吉宗,3034,111,"4,843",100.8%,-,-,-
マイジャグラーV,2125,111,"1,690",102.2%,7,4,1/154
スマスロ ゴッドイーター リザレクション,3099,111,"1,323",102.8%,-,-,-
マイジャグラーV,2103,110,"4,212",100.9%,18,8,1/162
スマスロ モンスターハンターライズ,3078,110,33,-,-,-,-
マイジャグラーV,2012,110,"1,575",102.3%,7,1,1/197
マイジャグラーV,2121,108,"3,600",101%,11,19,1/120
沖ドキ！ＧＯＬＤ-30,2173,108,"4,280",100.8%,-,-,-
スロット ゾンビランドサガ,3160,108,6,-,-,-,-
ゴーゴージャグラー３,2085,107,"2,937",101.2%,11,8,1/155
Lパチスロ かぐや様は告らせたい,3060,107,23,-,-,-,-
スマスロ デビルメイクライ5 スタイリッシュトライブ,3177,0,472,100%,-,-,-
マイジャグラーV,2007,0,"4,988",100%,20,11,1/161
スマスロ モンスターハンターライズ,3080,0,0,-,-,-,-
Lパチスロ革命機ヴァルヴレイヴ,3064,0,0,-,-,-,-
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,3153,0,0,-,-,-,-
パチスロ 転生したら剣でした,3178,0,0,-,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,3128,0,55,-,-,-,-
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,3151,0,0,-,-,-,-
L主役は銭形４,3149,0,0,-,-,-,-
回胴黙示録カイジ 狂宴,3158,0,0,-,-,-,-
