機種,台番,差枚,G数,出率,BB,RB,合成
ファンキージャグラー２ＫＴ,573,-880,"4,223",93.1%,13,13,1/162
スマスロ ゴッドイーター リザレクション,725,-880,"1,845",84.1%,-,-,-
マイジャグラーV,509,-890,"3,188",90.7%,9,8,1/188
スマスロモンキーターンV,645,-890,913,67.5%,-,-,-
Lパチスロ かぐや様は告らせたい,681,-900,835,64.1%,-,-,-
スマスロ ゴッドイーター リザレクション,726,-910,"7,222",95.8%,-,-,-
Lパチスロ かぐや様は告らせたい,679,-910,626,51.5%,-,-,-
マイジャグラーV,523,-920,"5,036",93.9%,15,15,1/168
L戦国乙女４　戦乱に閃く炯眼の軍師,841,-930,694,55.3%,-,-,-
マイジャグラーV,517,-930,"1,369",77.4%,2,2,1/342
Lパチスロ 機動戦士ガンダムSEED,783,-940,"1,021",69.3%,-,-,-
L東京喰種,633,-970,"6,541",95.1%,-,-,-
L戦国乙女４　戦乱に閃く炯眼の軍師,838,"-1,020","3,266",89.6%,-,-,-
ジャグラーガールズSS,595,"-1,030","2,947",88.3%,-,-,-
Lパチスロ ダンベル何キロ持てる？,771,"-1,040","2,139",83.8%,-,-,-
L東京喰種,632,"-1,050","6,427",94.6%,-,-,-
Lパチスロからくりサーカス,700,"-1,060","4,109",91.4%,-,-,-
スマスロ モンスターハンターライズ,751,"-1,070","1,453",75.5%,-,-,-
沖ドキ!ゴージャス 25Φ,601,"-1,080","4,230",91.5%,-,-,-
スマスロ アイドルマスター ミリオンライブ！ネクストプロローグ,627,"-1,090","1,530",76.3%,-,-,-
Lスマスロ北斗の拳,734,"-1,090","3,727",90.3%,26,6,1/116
L東京喰種,634,"-1,100","5,023",92.7%,-,-,-
Lスマスロ北斗の拳,737,"-1,120","5,374",93.1%,40,10,1/107
マイジャグラーV,505,"-1,150","1,886",79.7%,2,6,1/236
スマスロ ようこそ実力至上主義の教室へ,622,"-1,150","2,566",85.1%,-,-,-
Lパチスロ かぐや様は告らせたい,682,"-1,150","4,970",92.3%,-,-,-
マイジャグラーV,502,"-1,160","1,884",79.5%,4,3,1/269
Lパチスロ かぐや様は告らせたい,671,"-1,170",941,58.6%,-,-,-
スマスロ モンスターハンターライズ,759,"-1,190","5,786",93.1%,-,-,-
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,778,"-1,210","1,162",65.3%,-,-,-
L東京喰種,640,"-1,220","8,461",95.2%,-,-,-
Lパチスロからくりサーカス,696,"-1,230","1,156",64.5%,-,-,-
スマスロモンキーターンV,651,"-1,230","6,059",93.2%,-,-,-
スマスロ 緑ドン VIVA!情熱南米編 REVIVAL,818,"-1,230","5,808",92.9%,-,-,-
マイジャグラーV,515,"-1,230","1,605",74.5%,2,3,1/321
Lパチスロ かぐや様は告らせたい,674,"-1,230","3,453",88.1%,-,-,-
マイジャグラーV,534,"-1,230","1,466",72%,2,2,1/367
SアイムジャグラーＥＸ,590,"-1,260","4,643",91%,13,12,1/186
マイジャグラーV,519,"-1,260","1,750",76%,3,2,1/350
スマスロ モンスターハンターライズ,752,"-1,280","3,772",88.7%,-,-,-
ゴーゴージャグラー３,550,"-1,310","2,750",84.1%,6,7,1/212
SアイムジャグラーＥＸ,585,"-1,330","4,286",89.7%,14,5,1/226
スマスロ モンスターハンターライズ,749,"-1,330","1,203",63.1%,-,-,-
スマスロ バイオハザード5,763,"-1,370","6,259",92.7%,-,-,-
スマスロ モンスターハンターライズ,744,"-1,370","4,796",90.5%,-,-,-
Lパチスロ かぐや様は告らせたい,677,"-1,420","1,922",75.4%,-,-,-
L麻雀物語,815,"-1,420","3,416",86.1%,-,-,-
スマスロ モンスターハンターライズ,755,"-1,470","2,284",78.5%,-,-,-
L絶対衝激～PLATONIC HEART～,844,"-1,490","4,989",90%,-,-,-
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,795,"-1,490","1,775",72%,-,-,-
ゴーゴージャグラー３,559,"-1,500","3,323",85%,9,7,1/208
Lパチスロからくりサーカス,695,"-1,500","2,811",82.2%,-,-,-
スマスロ 七つの魔剣が支配する,628,"-1,530","3,079",83.4%,-,-,-
Lスマスロ北斗の拳,730,"-1,550","2,348",78%,9,4,1/181
Lパチスロ革命機ヴァルヴレイヴ,776,"-1,550","1,603",67.8%,-,-,-
スマスロモンキーターンV,646,"-1,560","6,973",92.5%,-,-,-
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,825,"-1,570","7,675",93.2%,-,-,-
Lスマスロ北斗の拳,731,"-1,570","3,716",85.9%,24,7,1/120
マイジャグラーV,536,"-1,600","6,410",91.7%,19,12,1/207
スマスロモンキーターンV,643,"-1,610","3,750",85.7%,-,-,-
マイジャグラーV,548,"-1,620","2,925",81.5%,8,2,1/293
Lパチスロ かぐや様は告らせたい,669,"-1,630","6,855",92.1%,-,-,-
マイジャグラーV,531,"-1,650","3,731",85.3%,7,10,1/219
